"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","40562491","117471723","117471723","32338.9682","32338.9682","2021"
"AUTOMOBILE","IN-BOUNDARY","33791521","95825550","95825550","26379.9605","26379.9605","2020"
"AUTOMOBILE","IN-BOUNDARY","44266409","154631824","154631824","42568.8286","42568.8286","2019"
"AUTOMOBILE","IN-BOUNDARY","42901203","178307883","178307883","49086.6496","49086.6496","2018"
"AUTOMOBILE","INBOUND","61765697","1393370978","696685489","383583.2031","191791.6015","2021"
"AUTOMOBILE","INBOUND","48503902","1005765966","502882983","276878.8333","138439.4167","2020"
"AUTOMOBILE","INBOUND","66580326","1529246842","764623421","420988.6751","210494.3375","2019"
"AUTOMOBILE","INBOUND","66484927","1630359118","815179559","448824.0003","224412.0001","2018"
"AUTOMOBILE","OUTBOUND","61892390","1375452682","687726341","378650.4483","189325.2241","2021"
"AUTOMOBILE","OUTBOUND","48842970","1004047986","502023993","276405.888","138202.944","2020"
"AUTOMOBILE","OUTBOUND","67158245","1522522889","761261444.5","419137.6279","209568.8139","2019"
"AUTOMOBILE","OUTBOUND","66891233","1626231254","813115627","447687.6344","223843.8172","2018"
"AUTOMOBILE","TOTAL","164220578","2886295383","1501883553","794572.6195","413455.7939","2021"
"AUTOMOBILE","TOTAL","131138393","2105639502","1100732526","579664.6819","303022.3212","2020"
"AUTOMOBILE","TOTAL","178004980","3206401555","1680516689.5","882695.1316","462631.9801","2019"
"AUTOMOBILE","TOTAL","176277363","3434898255","1806603069","945598.2843","497342.4669","2018"
"BUS","IN-BOUNDARY","377708","1388958","1388958","864.4523","864.4523","2021"
"BUS","IN-BOUNDARY","517661","1773162","1773162","1103.5711","1103.5711","2020"
"BUS","IN-BOUNDARY","1128064","3356117","3356117","2088.7622","2088.7622","2019"
"BUS","IN-BOUNDARY","1314513","3224606","3224606","2006.914","2006.914","2018"
"BUS","INBOUND","1777035","27003789","13501894.5","16806.4739","8403.237","2021"
"BUS","INBOUND","1683245","24583066","12291533","15299.8773","7649.9386","2020"
"BUS","INBOUND","3195524","51099874","25549937","31803.2666","15901.6333","2019"
"BUS","INBOUND","3161595","41401071","20700535.5","25766.9838","12883.4919","2018"
"BUS","OUTBOUND","1691318","25872507","12936253.5","16102.3927","8051.1963","2021"
"BUS","OUTBOUND","1619264","23658559","11829279.5","14724.4876","7362.2438","2020"
"BUS","OUTBOUND","3246732","48835269","24417634.5","30393.8338","15196.9169","2019"
"BUS","OUTBOUND","3247761","40287381","20143690.5","25073.8469","12536.9234","2018"
"BUS","TOTAL","3846061","54265254","27827106","33773.3189","17318.8856","2021"
"BUS","TOTAL","3820170","50014787","25893974.5","31127.9359","16115.7535","2020"
"BUS","TOTAL","7570320","103291260","53323688.5","64285.8626","33187.3124","2019"
"BUS","TOTAL","7723869","84913058","44068832","52847.7447","27427.3294","2018"
"CYCLING","IN-BOUNDARY","3732247","11603816","11603816","0","0","2021"
"CYCLING","IN-BOUNDARY","3210578","9742675","9742675","0","0","2020"
"CYCLING","IN-BOUNDARY","5629774","12210706","12210706","0","0","2019"
"CYCLING","IN-BOUNDARY","5843035","13018838","13018838","0","0","2018"
"CYCLING","INBOUND","1803997","12502106","6251053","0","0","2021"
"CYCLING","INBOUND","1521680","10792844","5396422","0","0","2020"
"CYCLING","INBOUND","2388356","13437993","6718996.5","0","0","2019"
"CYCLING","INBOUND","2557219","14749455","7374727.5","0","0","2018"
"CYCLING","OUTBOUND","1841477","13246723","6623361.5","0","0","2021"
"CYCLING","OUTBOUND","1542972","11070840","5535420","0","0","2020"
"CYCLING","OUTBOUND","2540299","14844832","7422416","0","0","2019"
"CYCLING","OUTBOUND","2714203","16499205","8249602.5","0","0","2018"
"CYCLING","TOTAL","7377721","37352645","24478230.5","0","0","2021"
"CYCLING","TOTAL","6275230","31606359","20674517","0","0","2020"
"CYCLING","TOTAL","10558429","40493531","26352118.5","0","0","2019"
"CYCLING","TOTAL","11114457","44267498","28643168","0","0","2018"
"ON FOOT","IN-BOUNDARY","34309025","37549129","37549129","0","0","2021"
"ON FOOT","IN-BOUNDARY","29968931","30480810","30480810","0","0","2020"
"ON FOOT","IN-BOUNDARY","72310316","57374991","57374991","0","0","2019"
"ON FOOT","IN-BOUNDARY","80408503","63401498","63401498","0","0","2018"
"ON FOOT","INBOUND","1966905","5225846","2612923","0","0","2021"
"ON FOOT","INBOUND","1732966","4529682","2264841","0","0","2020"
"ON FOOT","INBOUND","3191152","7047162","3523581","0","0","2019"
"ON FOOT","INBOUND","3381708","7696419","3848209.5","0","0","2018"
"ON FOOT","OUTBOUND","1922187","4811859","2405929.5","0","0","2021"
"ON FOOT","OUTBOUND","1710823","4254392","2127196","0","0","2020"
"ON FOOT","OUTBOUND","3155991","6835749","3417874.5","0","0","2019"
"ON FOOT","OUTBOUND","3390209","7672731","3836365.5","0","0","2018"
"ON FOOT","TOTAL","38198117","47586834","42567981.5","0","0","2021"
"ON FOOT","TOTAL","33412720","39264884","34872847","0","0","2020"
"ON FOOT","TOTAL","78657459","71257902","64316446.5","0","0","2019"
"ON FOOT","TOTAL","87180420","78770648","71086073","0","0","2018"
"TRAM","INBOUND","886759","17738330","8869165","0","0","2021"
"TRAM","INBOUND","1195769","22990004","11495002","0","0","2020"
"TRAM","INBOUND","2480531","46465278","23232639","0","0","2018"
"TRAM","OUTBOUND","810151","15570879","7785439.5","0","0","2021"
"TRAM","OUTBOUND","1270541","24480739","12240369.5","0","0","2020"
"TRAM","OUTBOUND","2779034","52857385","26428692.5","0","0","2018"
"TRAM","TOTAL","1696910","33309209","16654604.5","0","0","2021"
"TRAM","TOTAL","2466310","47470743","23735371.5","0","0","2020"
"TRAM","TOTAL","5259565","99322663","49661331.5","0","0","2018"